"Cycle 1:CoOTf1:S2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,5.000000e-001
Name,,"S 2p","S 2p",
Position,,"168.27","169.45",
FWHM,,"1.92","1.92",
Area,,"4559.66","2279.83",
Lineshape,,"LA(50)","LA(50)",
K.E.,Counts,"S 2p","S 2p",Background,Envelope,,B.E.,CPS,"S 2p","S 2p",Background CPS,Envelope CPS
1.322862e+003,1.075900e+003,1.108978e+003,1.103999e+003,1.101864e+003,1.111113e+003,,1.638180e+002,2.151800e+003,2.217955e+003,2.207999e+003,2.203727e+003,2.222227e+003
1.322962e+003,1.189030e+003,1.108520e+003,1.103824e+003,1.101764e+003,1.110579e+003,,1.637180e+002,2.378060e+003,2.217039e+003,2.207649e+003,2.203529e+003,2.221159e+003
1.323062e+003,1.128540e+003,1.108175e+003,1.103722e+003,1.101734e+003,1.110163e+003,,1.636180e+002,2.257080e+003,2.216350e+003,2.207445e+003,2.203468e+003,2.220327e+003
1.323162e+003,1.142510e+003,1.107852e+003,1.103605e+003,1.101688e+003,1.109769e+003,,1.635180e+002,2.285020e+003,2.215705e+003,2.207209e+003,2.203375e+003,2.219539e+003
1.323262e+003,1.086980e+003,1.107559e+003,1.103519e+003,1.101671e+003,1.109407e+003,,1.634180e+002,2.173960e+003,2.215119e+003,2.207038e+003,2.203342e+003,2.218814e+003
1.323362e+003,1.149890e+003,1.107228e+003,1.103405e+003,1.101616e+003,1.109017e+003,,1.633180e+002,2.299780e+003,2.214457e+003,2.206810e+003,2.203232e+003,2.218034e+003
1.323462e+003,1.157130e+003,1.106948e+003,1.103282e+003,1.101553e+003,1.108677e+003,,1.632180e+002,2.314260e+003,2.213895e+003,2.206565e+003,2.203106e+003,2.217354e+003
1.323562e+003,1.131560e+003,1.106696e+003,1.103189e+003,1.101519e+003,1.108366e+003,,1.631180e+002,2.263120e+003,2.213392e+003,2.206378e+003,2.203038e+003,2.216732e+003
1.323662e+003,1.181190e+003,1.106388e+003,1.103046e+003,1.101428e+003,1.108005e+003,,1.630180e+002,2.362380e+003,2.212775e+003,2.206091e+003,2.202857e+003,2.216010e+003
1.323762e+003,1.123760e+003,1.106164e+003,1.102971e+003,1.101403e+003,1.107732e+003,,1.629180e+002,2.247520e+003,2.212328e+003,2.205941e+003,2.202806e+003,2.215464e+003
1.323862e+003,1.099180e+003,1.105987e+003,1.102919e+003,1.101400e+003,1.107505e+003,,1.628180e+002,2.198360e+003,2.211974e+003,2.205837e+003,2.202801e+003,2.215010e+003
1.323962e+003,1.106500e+003,1.105806e+003,1.102864e+003,1.101395e+003,1.107275e+003,,1.627180e+002,2.213000e+003,2.211612e+003,2.205728e+003,2.202789e+003,2.214551e+003
1.324062e+003,1.119270e+003,1.105611e+003,1.102802e+003,1.101374e+003,1.107038e+003,,1.626180e+002,2.238540e+003,2.211221e+003,2.205603e+003,2.202749e+003,2.214076e+003
1.324162e+003,1.070240e+003,1.074331e+003,1.071625e+003,1.070240e+003,1.075717e+003,,1.625180e+002,2.140480e+003,2.148662e+003,2.143251e+003,2.140480e+003,2.151433e+003
1.324262e+003,1.090840e+003,1.094788e+003,1.092183e+003,1.090840e+003,1.096132e+003,,1.624180e+002,2.181680e+003,2.189576e+003,2.184367e+003,2.181680e+003,2.192263e+003
1.324362e+003,1.099830e+003,1.103635e+003,1.101135e+003,1.099830e+003,1.104940e+003,,1.623180e+002,2.199660e+003,2.207271e+003,2.202270e+003,2.199660e+003,2.209881e+003
1.324462e+003,1.068880e+003,1.072552e+003,1.070149e+003,1.068880e+003,1.073821e+003,,1.622180e+002,2.137760e+003,2.145104e+003,2.140298e+003,2.137760e+003,2.147642e+003
1.324562e+003,1.109680e+003,1.113234e+003,1.110913e+003,1.109680e+003,1.114467e+003,,1.621180e+002,2.219360e+003,2.226467e+003,2.221826e+003,2.219360e+003,2.228934e+003
1.324662e+003,1.121000e+003,1.124435e+003,1.122197e+003,1.121000e+003,1.125633e+003,,1.620180e+002,2.242000e+003,2.248871e+003,2.244395e+003,2.242000e+003,2.251265e+003
1.324762e+003,1.092600e+003,1.095917e+003,1.093767e+003,1.092600e+003,1.097083e+003,,1.619180e+002,2.185200e+003,2.191834e+003,2.187533e+003,2.185200e+003,2.194167e+003
1.324862e+003,1.113480e+003,1.116695e+003,1.114616e+003,1.113480e+003,1.117830e+003,,1.618180e+002,2.226960e+003,2.233390e+003,2.229231e+003,2.226960e+003,2.235661e+003
1.324962e+003,1.081710e+003,1.084826e+003,1.082815e+003,1.081710e+003,1.085930e+003,,1.617180e+002,2.163420e+003,2.169651e+003,2.165629e+003,2.163420e+003,2.171861e+003
1.325062e+003,1.067040e+003,1.070057e+003,1.068116e+003,1.067040e+003,1.071132e+003,,1.616180e+002,2.134080e+003,2.140113e+003,2.136232e+003,2.134080e+003,2.142265e+003
