"Cycle 1:CoEchem1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.56","782.07","786.19","796.93","802.59",
FWHM,,"3.36","3.36","6.00","3.53","5.19",
Area,,"10393.60","7912.32","12828.12","7306.91","6166.48",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.780240e+002,2.739930e+004,2.730323e+004,2.730284e+004,2.730989e+004,2.731213e+004,2.739948e+004,2.730061e+004,2.742513e+004,,8.086560e+002,1.369965e+004,1.365162e+004,1.365142e+004,1.365494e+004,1.365606e+004,1.369974e+004,1.365031e+004,1.371256e+004
6.781240e+002,2.751630e+004,2.730227e+004,2.730188e+004,2.730899e+004,2.731137e+004,2.740510e+004,2.729963e+004,2.743109e+004,,8.085560e+002,1.375815e+004,1.365114e+004,1.365094e+004,1.365450e+004,1.365569e+004,1.370255e+004,1.364982e+004,1.371554e+004
6.782240e+002,2.719850e+004,2.730184e+004,2.730145e+004,2.730862e+004,2.731114e+004,2.741183e+004,2.729918e+004,2.743816e+004,,8.084560e+002,1.359925e+004,1.365092e+004,1.365072e+004,1.365431e+004,1.365557e+004,1.370592e+004,1.364959e+004,1.371908e+004
6.783240e+002,2.776160e+004,2.729977e+004,2.729937e+004,2.730661e+004,2.730927e+004,2.741757e+004,2.729709e+004,2.744424e+004,,8.083560e+002,1.388080e+004,1.364988e+004,1.364969e+004,1.365331e+004,1.365464e+004,1.370878e+004,1.364854e+004,1.372212e+004
6.784240e+002,2.736830e+004,2.729946e+004,2.729907e+004,2.730639e+004,2.730917e+004,2.742578e+004,2.729677e+004,2.745281e+004,,8.082560e+002,1.368415e+004,1.364973e+004,1.364953e+004,1.365319e+004,1.365459e+004,1.371289e+004,1.364838e+004,1.372640e+004
6.785240e+002,2.729640e+004,2.729948e+004,2.729908e+004,2.730648e+004,2.730940e+004,2.743506e+004,2.729676e+004,2.746245e+004,,8.081560e+002,1.364820e+004,1.364974e+004,1.364954e+004,1.365324e+004,1.365470e+004,1.371753e+004,1.364838e+004,1.373122e+004
6.786240e+002,2.755530e+004,2.729833e+004,2.729793e+004,2.730541e+004,2.730845e+004,2.744400e+004,2.729559e+004,2.747174e+004,,8.080560e+002,1.377765e+004,1.364917e+004,1.364897e+004,1.365270e+004,1.365422e+004,1.372200e+004,1.364780e+004,1.373587e+004
6.787240e+002,2.751550e+004,2.729736e+004,2.729695e+004,2.730451e+004,2.730771e+004,2.745399e+004,2.729460e+004,2.748212e+004,,8.079560e+002,1.375775e+004,1.364868e+004,1.364848e+004,1.365225e+004,1.365385e+004,1.372700e+004,1.364730e+004,1.374106e+004
6.788240e+002,2.755280e+004,2.729621e+004,2.729580e+004,2.730343e+004,2.730681e+004,2.746475e+004,2.729343e+004,2.749329e+004,,8.078560e+002,1.377640e+004,1.364810e+004,1.364790e+004,1.365172e+004,1.365340e+004,1.373237e+004,1.364672e+004,1.374664e+004
6.789240e+002,2.767440e+004,2.729451e+004,2.729410e+004,2.730181e+004,2.730535e+004,2.747596e+004,2.729171e+004,2.750490e+004,,8.077560e+002,1.383720e+004,1.364725e+004,1.364705e+004,1.365090e+004,1.365268e+004,1.373798e+004,1.364585e+004,1.375245e+004
